efde014131d7488f9594bbc6d51e0f8b, 828.0, david, ABu, In Progress
b8254093f4ff4adcba126f3b31d0cd08, 69.0, junshen, S, In Progress
efde014131d7488f9594bbc6d51e0f8b, 828.0, david, ABu, Work Done
d4cf5feafc3f4748ad07e18b74ad014b, 995.0, junian, john, Work Done
87e3fcf2695e4bf3a09f981d87fc2630, 995.0, junian, john, Work Done
411875e5a2834de69bed8903637dd9b4, 276.0, junian, sad, In Progress
c5b1cf558dcd48f9912f5a5655d89140, 69.0, junian, pop, In Progress
f62a96ca390348ec9a58f9534336b79b, 700.0, junian, sad, In Progress
f09d3189e1cc41709952d5a47bd530fb, 700.0, junian, sad, In Progress
4b9859fc20e44d99816ef82937a088bc, 596.0, junian, lala, In Progress
0211925d0b594a41977b900cfa18a42f, 6625.0, david, Ho Ho, In Progress
763404cfa0d0403b867699624571afba, 6625.0, david, Ho Ho, In Progress
